series,n_total,n_missing,n_available,pct_missing
FR5BEI,1304,1112,192,85.3
ESTR,1304,395,909,30.3
SOFR,1304,57,1247,4.4
US5BEI,1304,55,1249,4.2
UST10,1304,55,1249,4.2
UST2,1304,55,1249,4.2
CDX HY,1304,54,1250,4.1
CDX IG,1304,54,1250,4.1
S&P,1304,46,1258,3.5
ITRX IG,1304,42,1262,3.2
ITRX XO,1304,42,1262,3.2
VIX,1304,39,1265,3.0
DEM2,1304,24,1280,1.8
DEM10,1304,23,1281,1.8
ESTX600,1304,19,1285,1.5
CO,1304,12,1292,0.9
DEYC,1304,0,1304,0.0
EURUSD,1304,0,1304,0.0
USYC,1304,0,1304,0.0
EURUSD3mBS,1304,0,1304,0.0
